id,name
cll2sczvx0001mj08jq8j8zxi,3 bich
cllcsbtgz0001kx08cd3t93ee,gay
clpd31acf0001bgq6svi47r6t,đoán
clpd325uu0003bgq6n044wl1v,chửi
clpd325uu0004bgq6hu1p3scl,đánh
clpd332ht0006bgq6k51fld1u,wtf
clpd33q0g0008bgq6jwcs6zdw,họa mi
clpd366dr000cbgq6l4wsyl93,treo cổ
clpd37amn000ebgq68vapsdhj,nhỏ mắt
clpd3jnau00071annwg4l0hpb,animal
clpd3p99y000h1anngsrdclce,pepe
clpd45qjd0001a51s71vi0jc2,thèm
clpd485c00005a51sxyuwiwyh,segg
clpd485c00006a51s0i19urig,text
clpd4hlfo001ba51sdatg5vov,horny
clpd4lwyl0022a51s6s1me394,police
clpd4rv4g002ma51se7lca5rg,chúc
clpd5auk90048a51stpasfhkq,chinese panda
clpd5be2n004ba51s6b7z7r9j,2077
clpd5lfxj0001cwpbuppyjg7w,tiền
clpd64l4j00099sotr8ci0vxj,tâm linh
clpd6jdvf00229soth1szqjc5,ngại
clpd6slnw003c9sotzfj7gwis,đuổi hình bắt chữ
clpd72vlm00589sotjuh6t5sm,dark
clpd79dz7005q9sotgus75wwx,loading
clpd79qv3005s9sotl05dmryo,card
clpdn2ir0000sqkjedva1gk56,quê
clpdnfc8c0001qno90s5pvlyp,flork
